epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.919285,0.184760,1.700090,0.194980,0.137775,1.700150,0.186575,0.137061
1,1.726482,0.228547,1.482661,0.255971,0.249721,1.520991,0.293479,0.262938
2,1.537539,0.314849,1.448570,0.317286,0.272251,1.620545,0.346833,0.328073
3,1.452425,0.369888,1.296062,0.371385,0.341619,1.327987,0.381681,0.358308
4,1.296001,0.419361,1.201249,0.484586,0.443807,1.256038,0.461318,0.454756
5,1.232472,0.470823,1.229131,0.442035,0.416883,1.348013,0.420308,0.401651
6,0.905281,0.494862,0.782463,0.517622,0.486662,0.867987,0.491651,0.479820
7,0.573977,0.517004,0.475835,0.623570,0.574850,0.554718,0.559319,0.520580
8,0.367424,0.536261,0.384027,0.473183,0.443366,0.443050,0.395840,0.399974
9,0.201620,0.531351,0.163803,0.638681,0.599888,0.207895,0.568094,0.532652
10,0.077650,0.583972,0.069105,0.582255,0.554976,0.092983,0.526867,0.514742
11,0.067526,0.577824,0.074635,0.609829,0.559015,0.088571,0.561116,0.545782
12,0.064014,0.609471,0.068261,0.631419,0.600970,0.092584,0.553654,0.537995
13,0.061171,0.609238,0.065057,0.622147,0.598982,0.088785,0.555975,0.541708
14,0.058867,0.627879,0.067369,0.618629,0.581813,0.089137,0.548973,0.537588
15,0.058771,0.627011,0.067711,0.614560,0.585231,0.091407,0.533188,0.524094
16,0.056384,0.635323,0.064362,0.619396,0.596540,0.090151,0.546608,0.535250
17,0.053745,0.649749,0.063681,0.629352,0.615505,0.089265,0.540018,0.528556
18,0.052519,0.649567,0.065938,0.628311,0.610027,0.094904,0.545683,0.530662
19,0.050245,0.660840,0.070206,0.634486,0.608590,0.099519,0.543810,0.527280
20,0.047918,0.669801,0.064118,0.627637,0.614784,0.096536,0.540888,0.532259
21,0.046929,0.675991,0.071420,0.599476,0.579474,0.097843,0.523626,0.519318
22,0.045263,0.680343,0.069612,0.626377,0.597777,0.102124,0.534384,0.526758
23,0.042966,0.680733,0.065690,0.638012,0.619957,0.102457,0.532151,0.525483
24,0.043635,0.697743,0.067933,0.609779,0.600814,0.100660,0.519137,0.516787
25,0.042971,0.702652,0.068594,0.612781,0.595224,0.100723,0.528381,0.524704
26,0.042667,0.705399,0.075429,0.621462,0.596270,0.112004,0.515716,0.512093
27,0.040687,0.708091,0.059846,0.628897,0.625271,0.104666,0.519072,0.516321
28,0.039040,0.705853,0.065622,0.602071,0.597406,0.112718,0.488684,0.493389
29,0.037704,0.723857,0.075187,0.611776,0.598438,0.120321,0.474517,0.478907
30,0.038958,0.716901,0.064756,0.634116,0.624975,0.109742,0.526681,0.522631
31,0.039093,0.717232,0.068238,0.596482,0.598523,0.115326,0.483764,0.477251
32,0.036419,0.733894,0.070739,0.617949,0.598853,0.120613,0.507933,0.506577
33,0.036057,0.717975,0.067571,0.613329,0.603296,0.125807,0.492021,0.491233
34,0.033418,0.747824,0.065887,0.633294,0.629221,0.119760,0.505596,0.501169
35,0.033798,0.741558,0.071645,0.607381,0.594863,0.124585,0.520206,0.508625
36,0.031146,0.755715,0.074238,0.610569,0.584341,0.127784,0.507123,0.487409
37,0.028825,0.759216,0.075570,0.618182,0.607744,0.124425,0.519744,0.512106
38,0.027430,0.777933,0.076172,0.605930,0.587443,0.136221,0.490870,0.486274
39,0.025361,0.794781,0.073056,0.625791,0.619277,0.135454,0.500946,0.498854
40,0.025563,0.788053,0.081622,0.608250,0.593837,0.156453,0.478742,0.469240
41,0.024044,0.795028,0.077325,0.610852,0.595607,0.144750,0.489390,0.482541
42,0.024517,0.787724,0.085531,0.582806,0.562795,0.149316,0.470209,0.463544
43,0.023359,0.801469,0.097463,0.609234,0.572432,0.172409,0.470034,0.461899
44,0.027602,0.787751,0.099755,0.596334,0.568647,0.152142,0.463363,0.458393
45,0.027885,0.773725,0.091397,0.597057,0.570136,0.139092,0.525835,0.522270
46,0.030811,0.759154,0.081264,0.600890,0.585064,0.134798,0.498069,0.485794
47,0.032158,0.744291,0.073272,0.630054,0.615669,0.128590,0.499933,0.494194
48,0.032640,0.754656,0.083868,0.576785,0.541029,0.141525,0.455946,0.451104
49,0.034052,0.745420,0.073157,0.602674,0.587322,0.124267,0.499498,0.485331
50,0.030947,0.759110,0.067429,0.620024,0.608919,0.131470,0.511526,0.501074
51,0.025099,0.795119,0.076088,0.612290,0.602862,0.155488,0.459455,0.453493
52,0.021860,0.810669,0.080516,0.641693,0.629174,0.156294,0.471530,0.465863
53,0.020934,0.816725,0.081233,0.635469,0.615181,0.176286,0.448084,0.443589
54,0.019386,0.826683,0.078461,0.617061,0.598252,0.159793,0.476993,0.469855
55,0.017116,0.835015,0.084653,0.635231,0.609064,0.172467,0.479798,0.473988
56,0.015689,0.845929,0.077232,0.633098,0.616394,0.169074,0.476048,0.469241
57,0.014812,0.855012,0.080133,0.636235,0.618726,0.166571,0.489661,0.485392
58,0.013973,0.860305,0.089949,0.622101,0.597820,0.178530,0.483899,0.474884
59,0.012931,0.877722,0.087377,0.646886,0.622621,0.183658,0.470449,0.464577
