epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1,ce,fc,cl
0,2.891451,0.177859,2.051560,0.022678,0.033655,1.918046,0.057384,0.051883,2.464768,0.418077,4.611123
1,2.109977,0.137640,1.796519,0.121963,0.094154,1.889744,0.104858,0.085715,1.911760,0.022432,4.506803
2,2.075445,0.199528,1.653554,0.261907,0.221405,1.703165,0.214414,0.209115,1.814045,0.010264,4.219805
3,2.021117,0.272382,1.587800,0.247311,0.217781,1.610525,0.173710,0.187542,1.662234,0.043759,4.048453
4,2.079768,0.312512,1.571747,0.300591,0.275844,1.603035,0.290935,0.286524,1.575450,0.129314,4.008671
5,1.971798,0.381635,1.517270,0.433767,0.392070,1.479688,0.408962,0.412165,1.445842,0.157479,3.999731
6,1.974899,0.421115,1.473961,0.467371,0.417240,1.405129,0.481413,0.457173,1.355771,0.275361,3.988393
7,1.951824,0.468552,1.692674,0.438339,0.362975,1.689518,0.351555,0.335166,1.249771,0.380067,3.979999
8,1.869054,0.480503,1.608475,0.491596,0.426140,1.486777,0.456836,0.436057,1.242159,0.286968,3.973204
9,1.909518,0.504668,1.703381,0.453880,0.453001,1.333315,0.511926,0.517382,1.192146,0.401281,3.963476
10,1.761957,0.517839,1.682784,0.510973,0.483701,1.295505,0.565901,0.562125,1.085809,0.350975,3.953674
11,1.794738,0.552035,1.657393,0.500429,0.486214,1.376321,0.517063,0.521596,1.035632,0.455948,3.943478
12,1.735872,0.556123,1.480360,0.565647,0.545128,1.259718,0.556001,0.550100,1.033800,0.384899,3.941522
13,1.684618,0.572465,1.703105,0.507561,0.483040,1.311260,0.579178,0.577558,1.022778,0.335860,3.931524
14,1.744340,0.591759,1.788965,0.517806,0.478047,1.586657,0.510047,0.487636,0.967218,0.480745,3.925267
15,1.685276,0.612703,1.470305,0.565895,0.550998,1.265420,0.585519,0.567268,0.919036,0.467953,3.918765
16,1.597081,0.629517,1.713700,0.544864,0.540101,1.361944,0.606985,0.601817,0.868255,0.422355,3.909421
17,1.646326,0.653811,1.569006,0.566376,0.572664,1.341795,0.604754,0.598467,0.831164,0.531215,3.901900
18,1.634857,0.654732,1.514375,0.587676,0.589514,1.364494,0.595885,0.585135,0.814640,0.538421,3.894798
19,1.626666,0.669392,1.740166,0.562561,0.557713,1.445074,0.592349,0.577654,0.783454,0.567906,3.888868
20,1.591522,0.668982,1.661033,0.587601,0.608029,1.397146,0.603146,0.597705,0.774749,0.535681,3.882292
21,1.645392,0.674598,1.659209,0.580078,0.563499,1.480574,0.602536,0.582730,0.758215,0.624602,3.874962
22,1.651451,0.684087,1.750364,0.575408,0.592131,1.488231,0.602129,0.597525,0.753378,0.638759,3.870658
23,1.605320,0.695784,1.598781,0.595114,0.604851,1.379035,0.637259,0.626618,0.724652,0.618040,3.862358
24,1.585951,0.705837,1.715004,0.580944,0.591093,1.470350,0.636542,0.626616,0.699028,0.626366,3.858305
25,1.628824,0.707643,1.700504,0.597856,0.597925,1.461093,0.636972,0.627104,0.696325,0.683900,3.853782
26,1.629519,0.708425,1.764062,0.579280,0.584768,1.515364,0.637187,0.627468,0.704349,0.675231,3.849849
27,1.606247,0.726098,1.766725,0.585703,0.592317,1.509300,0.642930,0.633819,0.668943,0.690593,3.848297
28,1.648783,0.719803,1.765483,0.595495,0.604518,1.507417,0.641861,0.633086,0.683119,0.726289,3.846327
29,1.624408,0.716576,1.767978,0.591640,0.597261,1.511527,0.641436,0.631718,0.673324,0.708119,3.845887
