epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1,test_uf1
0,1.579082,0.321346,1.607920,0.251347,0.084913,1.511461,0.312575,0.092811
1,1.501932,0.356521,1.495801,0.339468,0.168922,1.414085,0.386476,0.165975
2,1.450173,0.400235,1.454771,0.369495,0.194390,1.395543,0.398020,0.173754
3,1.415745,0.424179,1.441663,0.391601,0.212058,1.379185,0.417215,0.191352
4,1.386395,0.441937,1.402805,0.429072,0.254356,1.367299,0.435104,0.222599
5,1.353610,0.461758,1.372478,0.468003,0.293365,1.354155,0.477906,0.266416
6,0.984769,0.484832,0.996290,0.469225,0.295014,0.993776,0.458752,0.251584
7,0.683733,0.501217,0.735834,0.458087,0.286260,0.714747,0.446358,0.233775
8,0.439439,0.514436,0.483785,0.471404,0.308312,0.471328,0.480806,0.280887
9,0.242137,0.529509,0.276928,0.473052,0.311376,0.269184,0.475909,0.276875
10,0.070186,0.485162,0.082798,0.421857,0.316265,0.073978,0.417868,0.297824
11,0.065699,0.470479,0.080685,0.398610,0.305346,0.075260,0.386823,0.279434
12,0.065231,0.469835,0.081775,0.411343,0.316103,0.074790,0.394034,0.288954
13,0.063486,0.476243,0.083536,0.380649,0.306576,0.074947,0.358855,0.274364
14,0.062193,0.467623,0.085193,0.420247,0.315312,0.075718,0.408793,0.293160
15,0.061011,0.474660,0.081888,0.384098,0.303066,0.075347,0.394544,0.293193
16,0.060378,0.462619,0.083042,0.416164,0.317276,0.074251,0.422918,0.301686
17,0.058877,0.469480,0.081110,0.387964,0.302085,0.076731,0.378736,0.272542
18,0.059098,0.467683,0.084112,0.379545,0.299888,0.075674,0.370260,0.280858
19,0.056670,0.479919,0.086451,0.419437,0.313390,0.078897,0.418747,0.301154
20,0.055122,0.464042,0.084625,0.320132,0.274239,0.076635,0.329910,0.270894
21,0.055603,0.465015,0.081787,0.379651,0.299851,0.077780,0.396516,0.283413
22,0.053584,0.460761,0.087874,0.263933,0.230718,0.080686,0.270122,0.233520
23,0.052577,0.469039,0.086804,0.407589,0.304945,0.084722,0.403327,0.278931
24,0.052584,0.464691,0.089793,0.399166,0.304204,0.083834,0.413301,0.286779
