epoch,train_loss,train_wf1,dev_loss,dev_wf1,dev_uf1,test_loss,test_wf1
0,1.940579,0.310964,1.861002,0.251347,0.084913,1.805808,0.312575
1,1.833019,0.303458,1.845799,0.251347,0.084913,1.771590,0.312575
2,1.783755,0.320192,1.762554,0.262575,0.095186,1.713501,0.318215
3,1.751973,0.360661,1.742476,0.365522,0.192085,1.684874,0.394117
4,1.732557,0.387143,1.752217,0.388224,0.211472,1.687070,0.416116
5,1.717083,0.410008,1.719040,0.382284,0.199946,1.656442,0.405548
6,1.698422,0.416271,1.758182,0.344899,0.172893,1.696869,0.368573
7,1.676945,0.426686,1.706783,0.438718,0.263490,1.682041,0.447650
8,1.667523,0.444677,1.652900,0.447186,0.285239,1.646255,0.482799
9,1.648202,0.465478,1.699650,0.464279,0.286225,1.651276,0.463933
10,1.639777,0.467576,1.721092,0.403856,0.224262,1.695734,0.421720
11,1.621130,0.468073,1.685732,0.479063,0.328645,1.668198,0.469308
12,1.602255,0.483813,1.687471,0.478158,0.323051,1.667748,0.483133
13,1.581435,0.492098,1.764710,0.470172,0.311546,1.735003,0.493613
14,1.564162,0.506531,1.731637,0.477956,0.317749,1.715821,0.498968
15,1.550457,0.516651,1.716435,0.467479,0.301745,1.684319,0.463826
16,1.530468,0.534747,1.762997,0.479951,0.334887,1.761575,0.489819
17,1.505652,0.543377,1.856613,0.435264,0.329499,1.833157,0.436459
18,1.482571,0.552393,1.873211,0.457344,0.330067,1.788570,0.471698
19,1.459426,0.561238,1.966936,0.482210,0.346350,1.889008,0.482410
20,1.418799,0.575727,1.951815,0.471569,0.341630,1.859844,0.481331
21,1.383277,0.596235,2.122652,0.480183,0.352590,2.037930,0.471807
22,1.344897,0.604343,2.203555,0.445517,0.316500,2.073546,0.462042
23,1.292048,0.633104,2.260537,0.472164,0.338295,2.190286,0.464985
24,1.270178,0.640186,2.302984,0.453337,0.322369,2.163373,0.463759
25,1.220933,0.661890,2.407907,0.475412,0.329351,2.291017,0.478661
26,1.188859,0.676122,2.689132,0.454619,0.327523,2.496276,0.455265
27,1.154561,0.691510,2.628255,0.464805,0.330572,2.448570,0.457045
28,1.109951,0.708393,2.786600,0.463276,0.319541,2.566794,0.472279
29,1.089455,0.718396,2.754490,0.476307,0.323470,2.553798,0.464944
30,1.054281,0.724808,2.943761,0.472322,0.330079,2.729575,0.478941
31,1.020622,0.740610,3.125760,0.456790,0.310207,2.881539,0.475827
32,1.009865,0.743530,3.152076,0.457301,0.311778,2.886999,0.465544
33,0.989997,0.759001,3.210930,0.464478,0.320006,2.953477,0.473027
34,0.968415,0.766116,3.226935,0.465605,0.320683,2.973679,0.476777
35,0.943592,0.775215,3.338327,0.461198,0.317537,3.070418,0.470417
36,0.954148,0.772599,3.340331,0.461941,0.318700,3.056042,0.469834
37,0.950611,0.776292,3.359091,0.453896,0.312218,3.072689,0.468858
38,0.944962,0.782005,3.352082,0.462793,0.319477,3.074224,0.471789
39,0.936828,0.779167,3.357749,0.459507,0.316301,3.080190,0.470125
