Run directory: results/meld_20260526_211234
Loading MELD features…
  train: 968 convs  dev: 108  test: 268
  trainable parameters: 14,112,535
    Ep   TrLoss   DevWF1    TeWF1
     0   1.9406   0.2513   0.3126
     5   1.7171   0.3823   0.4055
    10   1.6398   0.4039   0.4217
    15   1.5505   0.4675   0.4638
    20   1.4188   0.4716   0.4813
    25   1.2209   0.4754   0.4787
    30   1.0543   0.4723   0.4789
    35   0.9436   0.4612   0.4704
    39   0.9368   0.4595   0.4701

  Best epoch 19 | Test WF1 0.4824
